Arrival_Date,Modal_Price
2020-01-31,4201.612903225807
2020-02-29,3825.862068965517
2020-03-31,3396.7741935483873
2020-04-30,3206.6666666666665
2020-05-31,3370.967741935484
2020-06-30,4136.666666666667
2020-07-31,4737.096774193548
2020-08-31,5358.064516129032
2020-09-30,5620.0
2020-10-31,3154.8387096774195
2020-11-30,1656.6666666666667
2020-12-31,1660.0806451612902
2021-01-31,1628.225806451613
2021-02-28,1612.0535714285713
2021-03-31,1478.225806451613
2021-04-30,1613.3333333333333
2021-05-31,1509.6774193548388
2021-06-30,2063.3333333333335
2021-07-31,2992.7419354838707
2021-08-31,2650.0
2021-09-30,2398.3333333333335
2021-10-31,2454.8387096774195
2021-11-30,1516.6666666666667
2021-12-31,1086.6935483870968
2022-01-31,1095.5645161290322
2022-02-28,1165.625
2022-03-31,1795.1612903225807
2022-04-30,1761.6666666666667
2022-05-31,1619.3548387096773
2022-06-30,1644.8333333333333
2022-07-31,2394.516129032258
2022-08-31,2529.032258064516
2022-09-30,2530.0
2022-10-31,2332.2580645161293
2022-11-30,2443.3333333333335
2022-12-31,2620.766129032258
2023-01-31,2919.3548387096776
2023-02-28,3394.6428571428573
2023-03-31,4317.741935483871
2023-04-30,4906.666666666667
2023-05-31,6150.0
2023-06-30,7421.666666666667
2023-07-31,10058.064516129032
2023-08-31,9404.032258064517
2023-09-30,11648.888888888889
2023-10-31,8889.946236559139
2023-11-30,6826.388888888889
2023-12-31,6522.311827956989
2024-01-31,6759.139784946236
2024-02-29,6442.241379310345
2024-03-31,7260.887096774193
2024-04-30,8775.972222222223
2024-05-31,9551.881720430107
2024-06-30,9986.944444444443
2024-07-31,9339.247311827958
2024-08-31,8178.978494623656
2024-09-30,8265.555555555555
2024-10-31,8516.290322580646
2024-11-30,6028.888888888889
2024-12-31,2678.494623655914
2025-01-31,2331.021505376344
2025-02-28,2205.4166666666665
2025-03-31,2438.7096774193546
2025-04-30,2325.8333333333335
2025-05-31,2056.505376344086
2025-06-30,2197.9666666666667
2025-07-31,2281.532258064516
2025-08-31,3923.6559139784945
2025-09-30,3971.5555555555557
2025-10-31,4497.39247311828
2025-11-30,4441.666666666667
