Arrival_Date,Modal_Price
2020-05-31,1540.6593406593406
2020-06-30,1536.4285714285716
2020-07-31,1580.0
2020-08-31,1624.2857142857144
2020-09-30,1667.857142857143
2020-10-31,1711.4285714285716
2020-11-30,1503.4101731601731
2020-12-31,1267.0454545454545
2021-01-31,1231.8181818181818
2021-02-28,1200.2626991235368
2021-03-31,1161.576354679803
2021-04-30,1116.5024630541873
2021-05-31,1071.4285714285716
2021-06-30,1026.3546798029556
2021-07-31,981.2807881773399
2021-08-31,935.4679802955665
2021-09-30,915.1067323481117
2021-10-31,943.5483870967741
2021-11-30,1346.6666666666667
2021-12-31,1569.3548387096773
2022-01-31,1603.225806451613
2022-02-28,1659.1002747252749
2022-03-31,1822.1153846153845
2022-04-30,2233.653846153846
2022-05-31,2130.6451612903224
2022-06-30,2333.3333333333335
2022-07-31,3806.451612903226
2022-08-31,3450.0
2022-09-30,3450.0
2022-10-31,3450.0
2022-11-30,3502.116666666667
2022-12-31,4032.52688172043
2023-01-31,4647.715053763441
2023-02-28,3695.625
2023-03-31,3290.0
2023-04-30,3197.8235294117644
2023-05-31,5988.477229601518
2023-06-30,7588.833333333333
2023-07-31,23046.774193548386
2023-08-31,22858.771929824565
2023-09-30,18872.368421052633
2023-10-31,14885.964912280704
2023-11-30,10899.561403508773
2023-12-31,6913.157894736843
2024-01-31,3710.964912280703
